"Periode","Lag","N_Uji","Sig_Tanpa_Koreks","Sig_Setelah_BH","Pct_Dipertahan"
"PERIOD_3",1,30,27,27,100
"PERIOD_3",2,30,28,28,100
"PERIOD_3",3,30,26,26,100
"PERIOD_3",4,30,25,25,100
"PERIOD_3",5,30,24,24,100
"PERIOD_3",6,30,25,25,100
"PERIOD_3",7,30,23,23,100
"PERIOD_3",8,30,19,19,100
"PERIOD_3",9,30,26,25,96.2
"PERIOD_3",10,30,26,26,100
"PERIOD_3",11,30,24,24,100
"PERIOD_3",12,30,29,29,100
"PERIOD_3",13,30,25,25,100
"PERIOD_3",14,30,21,21,100
"PERIOD_3",15,30,24,24,100
"PERIOD_3",16,30,22,22,100
