"Periode","Lag","Effect","Cause","PLCMF_Value","Sig_PLCMF","Bound"
"PERIOD_3",1,"region_1","region_1",2.933672,TRUE,0.015464
"PERIOD_3",1,"region_1","region_2",0.426964,TRUE,0.015464
"PERIOD_3",1,"region_1","region_3",-0.236055,TRUE,0.015464
"PERIOD_3",1,"region_1","region_4",-0.097103,TRUE,0.015464
"PERIOD_3",1,"region_1","region_5",-0.019773,TRUE,0.015464
"PERIOD_3",1,"region_1","region_6",-0.259341,TRUE,0.015464
"PERIOD_3",1,"region_2","region_1",0.202603,TRUE,0.015464
"PERIOD_3",1,"region_2","region_2",2.277311,TRUE,0.015464
"PERIOD_3",1,"region_2","region_3",0.246026,TRUE,0.015464
"PERIOD_3",1,"region_2","region_4",-0.217084,TRUE,0.015464
"PERIOD_3",1,"region_2","region_5",0.013389,FALSE,0.015464
"PERIOD_3",1,"region_2","region_6",0.203455,TRUE,0.015464
"PERIOD_3",1,"region_3","region_1",0.255387,TRUE,0.015464
"PERIOD_3",1,"region_3","region_2",-0.353518,TRUE,0.015464
"PERIOD_3",1,"region_3","region_3",2.666793,TRUE,0.015464
"PERIOD_3",1,"region_3","region_4",-0.305914,TRUE,0.015464
"PERIOD_3",1,"region_3","region_5",0.016292,TRUE,0.015464
"PERIOD_3",1,"region_3","region_6",0.147003,TRUE,0.015464
"PERIOD_3",1,"region_4","region_1",0.026665,TRUE,0.015464
"PERIOD_3",1,"region_4","region_2",-0.456277,TRUE,0.015464
"PERIOD_3",1,"region_4","region_3",0.542749,TRUE,0.015464
"PERIOD_3",1,"region_4","region_4",1.587556,TRUE,0.015464
"PERIOD_3",1,"region_4","region_5",-0.005716,FALSE,0.015464
"PERIOD_3",1,"region_4","region_6",0.65251,TRUE,0.015464
"PERIOD_3",1,"region_5","region_1",0.074515,TRUE,0.015464
"PERIOD_3",1,"region_5","region_2",-0.193482,TRUE,0.015464
"PERIOD_3",1,"region_5","region_3",0.280818,TRUE,0.015464
"PERIOD_3",1,"region_5","region_4",-0.314194,TRUE,0.015464
"PERIOD_3",1,"region_5","region_5",2.92993,TRUE,0.015464
"PERIOD_3",1,"region_5","region_6",0.204338,TRUE,0.015464
"PERIOD_3",1,"region_6","region_1",0.235961,TRUE,0.015464
"PERIOD_3",1,"region_6","region_2",-0.304629,TRUE,0.015464
"PERIOD_3",1,"region_6","region_3",0.288962,TRUE,0.015464
"PERIOD_3",1,"region_6","region_4",-0.342299,TRUE,0.015464
"PERIOD_3",1,"region_6","region_5",0.005474,FALSE,0.015464
"PERIOD_3",1,"region_6","region_6",2.680768,TRUE,0.015464
"PERIOD_3",2,"region_1","region_1",-0.107535,TRUE,0.015464
"PERIOD_3",2,"region_1","region_2",0.071783,TRUE,0.015464
"PERIOD_3",2,"region_1","region_3",0.024092,TRUE,0.015464
"PERIOD_3",2,"region_1","region_4",0.166789,TRUE,0.015464
"PERIOD_3",2,"region_1","region_5",-0.002396,FALSE,0.015464
"PERIOD_3",2,"region_1","region_6",0.081217,TRUE,0.015464
"PERIOD_3",2,"region_2","region_1",0.128619,TRUE,0.015464
"PERIOD_3",2,"region_2","region_2",0.18725,TRUE,0.015464
"PERIOD_3",2,"region_2","region_3",0.077336,TRUE,0.015464
"PERIOD_3",2,"region_2","region_4",-0.273463,TRUE,0.015464
"PERIOD_3",2,"region_2","region_5",-0.054289,TRUE,0.015464
"PERIOD_3",2,"region_2","region_6",-0.086581,TRUE,0.015464
"PERIOD_3",2,"region_3","region_1",0.121968,TRUE,0.015464
"PERIOD_3",2,"region_3","region_2",0.059338,TRUE,0.015464
"PERIOD_3",2,"region_3","region_3",0.1067,TRUE,0.015464
"PERIOD_3",2,"region_3","region_4",-0.33817,TRUE,0.015464
"PERIOD_3",2,"region_3","region_5",-0.077709,TRUE,0.015464
"PERIOD_3",2,"region_3","region_6",-0.051667,TRUE,0.015464
"PERIOD_3",2,"region_4","region_1",0.205103,TRUE,0.015464
"PERIOD_3",2,"region_4","region_2",0.213692,TRUE,0.015464
"PERIOD_3",2,"region_4","region_3",0.061618,TRUE,0.015464
"PERIOD_3",2,"region_4","region_4",-0.407774,TRUE,0.015464
"PERIOD_3",2,"region_4","region_5",-0.044284,TRUE,0.015464
"PERIOD_3",2,"region_4","region_6",-0.248502,TRUE,0.015464
"PERIOD_3",2,"region_5","region_1",0.050903,TRUE,0.015464
"PERIOD_3",2,"region_5","region_2",0.062736,TRUE,0.015464
"PERIOD_3",2,"region_5","region_3",-0.049374,TRUE,0.015464
"PERIOD_3",2,"region_5","region_4",-0.310446,TRUE,0.015464
"PERIOD_3",2,"region_5","region_5",0.195614,TRUE,0.015464
"PERIOD_3",2,"region_5","region_6",-0.030204,TRUE,0.015464
"PERIOD_3",2,"region_6","region_1",0.142268,TRUE,0.015464
"PERIOD_3",2,"region_6","region_2",0.041716,TRUE,0.015464
