Split,Window,Period,Region,Model,RMSE,MAPE,SMAPE
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 1,GRU-PLCMF,70.2554,8.5338,8.3792
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 2,GRU-SW,187.8063,9.9314,8.9982
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 2,GRU-PACF,171.5463,8.6368,7.8393
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 2,GRU-PLCMF,189.788,9.701,8.7417
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 3,GRU-SW,85.1043,5.8585,5.5275
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 3,GRU-PACF,72.648,4.6821,4.452
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 3,GRU-PLCMF,96.9999,7.0794,6.6493
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 4,GRU-SW,50.1932,6.8173,6.4988
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 4,GRU-PACF,53.0291,7.4006,7.0418
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 4,GRU-PLCMF,52.1996,7.1665,6.8239
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 5,GRU-SW,101.6693,16.4942,14.7938
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 5,GRU-PACF,121.1917,20.1549,17.8379
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 5,GRU-PLCMF,106.3178,17.1878,15.3394
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 6,GRU-SW,85.433,4.583,4.2327
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 6,GRU-PACF,88.5859,4.9412,4.5553
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 6,GRU-PLCMF,88.4434,4.9193,4.533
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 1,GRU-SW,135.3206,10.9883,12.118
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 1,GRU-PACF,135.7983,11.021,12.1667
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 1,GRU-PLCMF,130.8507,10.5604,11.6153
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 2,GRU-SW,80.7369,4.9304,4.778
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 2,GRU-PACF,85.564,5.1916,5.003
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 2,GRU-PLCMF,85.8926,5.2608,5.0756
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 3,GRU-SW,50.9341,3.8326,3.9067
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 3,GRU-PACF,58.1662,3.9645,4.0553
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 3,GRU-PLCMF,63.1438,4.3666,4.4884
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 4,GRU-SW,14.3986,2.0711,2.0836
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 4,GRU-PACF,13.8514,1.8579,1.8427
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 4,GRU-PLCMF,13.1389,1.8121,1.8069
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 5,GRU-SW,70.9631,9.7802,9.7834
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 5,GRU-PACF,68.4866,9.3965,9.2277
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 5,GRU-PLCMF,70.0218,9.6586,9.6559
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 6,GRU-SW,27.9245,2.105,2.1097
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 6,GRU-PACF,27.2239,2.1179,2.1332
Testing,"October 1, 2025 - October 15, 2025",Period_1,Region 6,GRU-PLCMF,29.691,2.3432,2.3669
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 1,GRU-SW,157.7786,11.8083,13.2194
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 1,GRU-PACF,154.6373,11.5199,12.8196
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 1,GRU-PLCMF,163.4071,12.3752,13.8749
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 2,GRU-SW,103.5668,5.3036,5.1194
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 2,GRU-PACF,106.3671,5.3374,5.1326
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 2,GRU-PLCMF,102.646,5.1728,4.9942
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 3,GRU-SW,64.0105,4.2987,4.422
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 3,GRU-PACF,70.0293,4.7606,4.9105
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 3,GRU-PLCMF,66.2612,4.4802,4.6126
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 4,GRU-SW,24.5019,2.626,2.7018
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 4,GRU-PACF,28.5582,2.904,3.0101
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 4,GRU-PLCMF,24.274,2.6483,2.7238
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 5,GRU-SW,76.584,9.6243,9.5738
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 5,GRU-PACF,77.2683,9.7115,9.6943
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 5,GRU-PLCMF,79.9472,9.6039,9.8361
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 6,GRU-SW,44.8783,3.3022,3.3523
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 6,GRU-PACF,40.5701,2.8932,2.9241
Testing,"October 1, 2025 - October 15, 2025",Period_2,Region 6,GRU-PLCMF,42.7648,3.1462,3.1892
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 1,GRU-SW,141.5707,11.7631,13.1163
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 1,GRU-PACF,163.6603,15.0084,16.8998
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 1,GRU-PLCMF,151.5055,12.5792,14.1431
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 2,GRU-SW,151.0701,7.6972,7.9999
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 2,GRU-PACF,156.3858,7.8465,8.2458
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 2,GRU-PLCMF,88.2128,4.6335,4.5756
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 3,GRU-SW,163.1304,11.8768,12.7055
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 3,GRU-PACF,160.7853,11.9573,12.7736
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 3,GRU-PLCMF,89.8965,6.6754,6.935
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 4,GRU-SW,55.7519,7.7468,8.0922
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 4,GRU-PACF,40.3353,5.4489,5.625
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 4,GRU-PLCMF,16.4593,1.8528,1.8574
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 5,GRU-SW,171.1557,21.7215,24.6475
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 5,GRU-PACF,166.1825,20.8743,23.6175
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 5,GRU-PLCMF,80.1342,9.5692,9.9237
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 6,GRU-SW,77.1396,6.0014,6.211
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 6,GRU-PACF,97.3723,7.8698,8.2154
Testing,"October 1, 2025 - October 15, 2025",Period_3,Region 6,GRU-PLCMF,45.7412,3.3693,3.4424
