Split,Window,Period,Region,Model,RMSE,MAPE,SMAPE
Training,"August 1, 2024 - August 15, 2024",Period_3,Region 6,GRU-SW,87.4338,6.7738,6.3683
Training,"August 1, 2024 - August 15, 2024",Period_3,Region 6,GRU-PACF,71.2486,5.1832,4.9338
Training,"August 1, 2024 - August 15, 2024",Period_3,Region 6,GRU-PLCMF,58.3345,3.9601,3.8011
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 1,GRU-SW,61.4003,6.7956,6.0353
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 1,GRU-PACF,68.1659,7.405,6.4019
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 1,GRU-PLCMF,69.2154,7.6754,6.632
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 2,GRU-SW,72.7432,3.9479,3.8277
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 2,GRU-PACF,77.469,4.2006,4.0695
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 2,GRU-PLCMF,72.2639,3.9554,3.8546
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 3,GRU-SW,89.6675,7.2158,6.9078
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 3,GRU-PACF,71.7403,5.1259,4.8827
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 3,GRU-PLCMF,84.1333,6.8789,6.4836
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 4,GRU-SW,25.547,3.808,3.746
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 4,GRU-PACF,22.7833,3.24,3.2285
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 4,GRU-PLCMF,20.6847,2.8843,2.8704
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 5,GRU-SW,46.2951,6.0939,6.0918
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 5,GRU-PACF,46.4765,6.0558,6.0618
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 5,GRU-PLCMF,46.6667,6.1077,6.1061
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 6,GRU-SW,55.9721,4.2793,4.0728
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 6,GRU-PACF,66.952,5.4464,5.1344
Training,"January 1, 2025 - January 15, 2025",Period_1,Region 6,GRU-PLCMF,63.0571,5.0151,4.7491
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 1,GRU-SW,86.593,9.4109,7.888
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 1,GRU-PACF,86.4866,9.4029,7.8745
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 1,GRU-PLCMF,83.8348,9.0422,7.6352
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 2,GRU-SW,126.7739,5.6177,5.2104
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 2,GRU-PACF,141.854,6.7281,6.2226
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 2,GRU-PLCMF,130.6952,5.8799,5.446
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 3,GRU-SW,102.4921,7.6099,7.0774
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 3,GRU-PACF,83.4412,5.2631,4.9518
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 3,GRU-PLCMF,81.5927,5.0827,4.7793
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 4,GRU-SW,30.5735,4.1694,4.0808
