Periode,Lag,Effect,Cause,PLCMF_Value,PVal_Raw,PVal_BH_Adj,Sig_Raw,Sig_BH
PERIOD_1,3,region_2,region_6,-0.087474,0,0,TRUE,TRUE
PERIOD_1,3,region_3,region_1,0.132045,0,0,TRUE,TRUE
PERIOD_1,3,region_3,region_2,0.13094,0,0,TRUE,TRUE
PERIOD_1,3,region_3,region_4,0.00674,0.39295,0.431616,FALSE,FALSE
PERIOD_1,3,region_3,region_5,0.105873,0,0,TRUE,TRUE
PERIOD_1,3,region_3,region_6,-0.101584,0,0,TRUE,TRUE
PERIOD_1,3,region_4,region_1,0.066703,0,0,TRUE,TRUE
PERIOD_1,3,region_4,region_2,-0.022262,0.00478,0.006889,TRUE,TRUE
PERIOD_1,3,region_4,region_3,0.242814,0,0,TRUE,TRUE
PERIOD_1,3,region_4,region_5,0.08166,0,0,TRUE,TRUE
PERIOD_1,3,region_4,region_6,-0.170105,0,0,TRUE,TRUE
PERIOD_1,3,region_5,region_1,0.001975,0.802376,0.826482,FALSE,FALSE
PERIOD_1,3,region_5,region_2,-0.048628,0,0,TRUE,TRUE
PERIOD_1,3,region_5,region_3,0.149844,0,0,TRUE,TRUE
PERIOD_1,3,region_5,region_4,-0.079661,0,0,TRUE,TRUE
PERIOD_1,3,region_5,region_6,-0.069019,0,0,TRUE,TRUE
PERIOD_1,3,region_6,region_1,0.139691,0,0,TRUE,TRUE
PERIOD_1,3,region_6,region_2,0.104665,0,0,TRUE,TRUE
PERIOD_1,3,region_6,region_3,0.152664,0,0,TRUE,TRUE
PERIOD_1,3,region_6,region_4,0.092039,0,0,TRUE,TRUE
PERIOD_1,3,region_6,region_5,0.13052,0,0,TRUE,TRUE
PERIOD_1,4,region_1,region_2,-0.068466,0,0,TRUE,TRUE
PERIOD_1,4,region_1,region_3,0.108168,0,0,TRUE,TRUE
PERIOD_1,4,region_1,region_4,0.029092,0.000227,0.000368,TRUE,TRUE
PERIOD_1,4,region_1,region_5,0.037064,3e-06,5e-06,TRUE,TRUE
PERIOD_1,4,region_1,region_6,-0.060423,0,0,TRUE,TRUE
PERIOD_1,4,region_2,region_1,0.048149,0,0,TRUE,TRUE
PERIOD_1,4,region_2,region_3,0.133958,0,0,TRUE,TRUE
PERIOD_1,4,region_2,region_4,0.077185,0,0,TRUE,TRUE
PERIOD_1,4,region_2,region_5,0.085251,0,0,TRUE,TRUE
PERIOD_1,4,region_2,region_6,-0.073827,0,0,TRUE,TRUE
PERIOD_1,4,region_3,region_1,0.043124,0,0,TRUE,TRUE
PERIOD_1,4,region_3,region_2,0.118413,0,0,TRUE,TRUE
PERIOD_1,4,region_3,region_4,-0.037685,2e-06,3e-06,TRUE,TRUE
PERIOD_1,4,region_3,region_5,0.073189,0,0,TRUE,TRUE
PERIOD_1,4,region_3,region_6,-0.114996,0,0,TRUE,TRUE
PERIOD_1,4,region_4,region_1,0.072535,0,0,TRUE,TRUE
PERIOD_1,4,region_4,region_2,-0.003713,0.637961,0.678983,FALSE,FALSE
PERIOD_1,4,region_4,region_3,0.155284,0,0,TRUE,TRUE
PERIOD_1,4,region_4,region_5,0.102132,0,0,TRUE,TRUE
PERIOD_1,4,region_4,region_6,-0.078609,0,0,TRUE,TRUE
PERIOD_1,4,region_5,region_1,0.028951,0.000243,0.000393,TRUE,TRUE
PERIOD_1,4,region_5,region_2,-0.033856,1.8e-05,3.1e-05,TRUE,TRUE
PERIOD_1,4,region_5,region_3,0.144897,0,0,TRUE,TRUE
PERIOD_1,4,region_5,region_4,0.012593,0.110469,0.132233,FALSE,FALSE
PERIOD_1,4,region_5,region_6,-0.076018,0,0,TRUE,TRUE
PERIOD_1,4,region_6,region_1,0.052129,0,0,TRUE,TRUE
PERIOD_1,4,region_6,region_2,0.116474,0,0,TRUE,TRUE
PERIOD_1,4,region_6,region_3,0.045107,0,0,TRUE,TRUE
PERIOD_1,4,region_6,region_4,-0.013497,0.08714,0.106161,FALSE,FALSE
PERIOD_1,4,region_6,region_5,0.087253,0,0,TRUE,TRUE
PERIOD_1,5,region_1,region_2,-0.026828,0.000673,0.001042,TRUE,TRUE
PERIOD_1,5,region_1,region_3,-0.001692,0.830223,0.849695,FALSE,FALSE
PERIOD_1,5,region_1,region_4,0.072651,0,0,TRUE,TRUE
PERIOD_1,5,region_1,region_5,-0.013947,0.077104,0.095633,FALSE,FALSE
PERIOD_1,5,region_1,region_6,-0.017494,0.026609,0.034802,TRUE,TRUE
PERIOD_1,5,region_2,region_1,0.016376,0.037939,0.048562,TRUE,TRUE
PERIOD_1,5,region_2,region_3,-0.049028,0,0,TRUE,TRUE
PERIOD_1,5,region_2,region_4,0.095847,0,0,TRUE,TRUE
PERIOD_1,5,region_2,region_5,0.005095,0.518436,0.559212,FALSE,FALSE
PERIOD_1,5,region_2,region_6,-0.023027,0.003516,0.005193,TRUE,TRUE
PERIOD_1,5,region_3,region_1,0.022845,0.003785,0.005574,TRUE,TRUE
PERIOD_1,5,region_3,region_2,0.16085,0,0,TRUE,TRUE
PERIOD_1,5,region_3,region_4,0.061012,0,0,TRUE,TRUE
PERIOD_1,5,region_3,region_5,-0.028275,0.000339,0.00054,TRUE,TRUE
PERIOD_1,5,region_3,region_6,0.006384,0.418432,0.456471,FALSE,FALSE
PERIOD_1,5,region_4,region_1,0.019429,0.013797,0.018921,TRUE,TRUE
PERIOD_1,5,region_4,region_2,0.043221,0,0,TRUE,TRUE
PERIOD_1,5,region_4,region_3,-0.009414,0.232811,0.264809,FALSE,FALSE
PERIOD_1,5,region_4,region_5,0.022658,0.004081,0.005991,TRUE,TRUE
PERIOD_1,5,region_4,region_6,0.004782,0.544458,0.585964,FALSE,FALSE
PERIOD_1,5,region_5,region_1,0.027053,0.000606,0.000948,TRUE,TRUE
PERIOD_1,5,region_5,region_2,-0.016679,0.034518,0.044539,TRUE,TRUE
PERIOD_1,5,region_5,region_3,0.020511,0.009332,0.013022,TRUE,TRUE
PERIOD_1,5,region_5,region_4,0.067426,0,0,TRUE,TRUE
PERIOD_1,5,region_5,region_6,-0.022583,0.004206,0.006155,TRUE,TRUE
