"Periode","Lag","Effect","Cause","PLCMF_Value","PVal_Raw","PVal_BH_Adj","Sig_Raw","Sig_BH"
"PERIOD_2",1,"region_1","region_2",0.05234,0,0,TRUE,TRUE
"PERIOD_2",1,"region_1","region_3",-0.019478,0.013562,0.019726,TRUE,TRUE
"PERIOD_2",1,"region_1","region_4",-0.010452,0.185241,0.223969,FALSE,FALSE
"PERIOD_2",1,"region_1","region_5",-0.018148,0.021439,0.030002,TRUE,TRUE
"PERIOD_2",1,"region_1","region_6",0.070968,0,0,TRUE,TRUE
"PERIOD_2",1,"region_2","region_1",0.092337,0,0,TRUE,TRUE
"PERIOD_2",1,"region_2","region_3",0.04635,0,0,TRUE,TRUE
"PERIOD_2",1,"region_2","region_4",-0.040651,0,1e-06,TRUE,TRUE
"PERIOD_2",1,"region_2","region_5",0.001954,0.804421,0.821536,FALSE,FALSE
"PERIOD_2",1,"region_2","region_6",0.008291,0.293323,0.339265,FALSE,FALSE
"PERIOD_2",1,"region_3","region_1",-0.043118,0,0,TRUE,TRUE
"PERIOD_2",1,"region_3","region_2",0.051986,0,0,TRUE,TRUE
"PERIOD_2",1,"region_3","region_4",0.019223,0.014835,0.021349,TRUE,TRUE
"PERIOD_2",1,"region_3","region_5",0.002053,0.794662,0.815038,FALSE,FALSE
"PERIOD_2",1,"region_3","region_6",0.061412,0,0,TRUE,TRUE
"PERIOD_2",1,"region_4","region_1",-0.011678,0.138827,0.173083,FALSE,FALSE
"PERIOD_2",1,"region_4","region_2",0.115482,0,0,TRUE,TRUE
"PERIOD_2",1,"region_4","region_3",0.016922,0.031973,0.043723,TRUE,TRUE
"PERIOD_2",1,"region_4","region_5",-0.013046,0.098241,0.125414,FALSE,FALSE
"PERIOD_2",1,"region_4","region_6",0.082503,0,0,TRUE,TRUE
"PERIOD_2",1,"region_5","region_1",-0.002553,0.746213,0.777887,FALSE,FALSE
"PERIOD_2",1,"region_5","region_2",0.040828,0,1e-06,TRUE,TRUE
"PERIOD_2",1,"region_5","region_3",0.034933,1e-05,2e-05,TRUE,TRUE
"PERIOD_2",1,"region_5","region_4",-0.035583,6e-06,1.4e-05,TRUE,TRUE
"PERIOD_2",1,"region_5","region_6",-0.011388,0.14891,0.182806,FALSE,FALSE
"PERIOD_2",1,"region_6","region_1",-0.018671,0.017959,0.025354,TRUE,TRUE
"PERIOD_2",1,"region_6","region_2",0.116888,0,0,TRUE,TRUE
"PERIOD_2",1,"region_6","region_3",0.007256,0.357735,0.404983,FALSE,FALSE
"PERIOD_2",1,"region_6","region_4",0.002386,0.762336,0.790326,FALSE,FALSE
"PERIOD_2",1,"region_6","region_5",-0.016932,0.031867,0.043703,TRUE,TRUE
"PERIOD_2",2,"region_1","region_2",0.119494,0,0,TRUE,TRUE
"PERIOD_2",2,"region_1","region_3",0.020174,0.010558,0.015642,TRUE,TRUE
"PERIOD_2",2,"region_1","region_4",-0.115808,0,0,TRUE,TRUE
"PERIOD_2",2,"region_1","region_5",-0.004832,0.540235,0.581419,FALSE,FALSE
"PERIOD_2",2,"region_1","region_6",-0.181191,0,0,TRUE,TRUE
"PERIOD_2",2,"region_2","region_1",-0.150052,0,0,TRUE,TRUE
"PERIOD_2",2,"region_2","region_3",0.076053,0,0,TRUE,TRUE
"PERIOD_2",2,"region_2","region_4",-0.133878,0,0,TRUE,TRUE
"PERIOD_2",2,"region_2","region_5",-0.008,0.3106,0.35667,FALSE,FALSE
"PERIOD_2",2,"region_2","region_6",0.025882,0.001037,0.001746,TRUE,TRUE
"PERIOD_2",2,"region_3","region_1",-0.099327,0,0,TRUE,TRUE
"PERIOD_2",2,"region_3","region_2",0.076893,0,0,TRUE,TRUE
"PERIOD_2",2,"region_3","region_4",-0.168664,0,0,TRUE,TRUE
"PERIOD_2",2,"region_3","region_5",-0.040029,0,1e-06,TRUE,TRUE
"PERIOD_2",2,"region_3","region_6",-0.13922,0,0,TRUE,TRUE
"PERIOD_2",2,"region_4","region_1",-0.099357,0,0,TRUE,TRUE
"PERIOD_2",2,"region_4","region_2",0.01945,0.013694,0.019859,TRUE,TRUE
"PERIOD_2",2,"region_4","region_3",0.065761,0,0,TRUE,TRUE
"PERIOD_2",2,"region_4","region_5",0.003801,0.629967,0.664525,FALSE,FALSE
"PERIOD_2",2,"region_4","region_6",-0.051401,0,0,TRUE,TRUE
"PERIOD_2",2,"region_5","region_1",-0.089033,0,0,TRUE,TRUE
"PERIOD_2",2,"region_5","region_2",0.017922,0.023114,0.031974,TRUE,TRUE
"PERIOD_2",2,"region_5","region_3",-0.014045,0.075047,0.097096,FALSE,FALSE
"PERIOD_2",2,"region_5","region_4",-0.142251,0,0,TRUE,TRUE
"PERIOD_2",2,"region_5","region_6",-0.080811,0,0,TRUE,TRUE
"PERIOD_2",2,"region_6","region_1",-0.097873,0,0,TRUE,TRUE
"PERIOD_2",2,"region_6","region_2",0.044238,0,0,TRUE,TRUE
"PERIOD_2",2,"region_6","region_3",0.061226,0,0,TRUE,TRUE
"PERIOD_2",2,"region_6","region_4",-0.154227,0,0,TRUE,TRUE
"PERIOD_2",2,"region_6","region_5",0.012518,0.112595,0.143357,FALSE,FALSE
"PERIOD_2",3,"region_1","region_2",0.095805,0,0,TRUE,TRUE
"PERIOD_2",3,"region_1","region_3",0.046178,0,0,TRUE,TRUE
"PERIOD_2",3,"region_1","region_4",-0.046766,0,0,TRUE,TRUE
"PERIOD_2",3,"region_1","region_5",0.032576,3.6e-05,7.2e-05,TRUE,TRUE
"PERIOD_2",3,"region_1","region_6",-0.122329,0,0,TRUE,TRUE
"PERIOD_2",3,"region_2","region_1",-0.050994,0,0,TRUE,TRUE
"PERIOD_2",3,"region_2","region_3",0.098073,0,0,TRUE,TRUE
"PERIOD_2",3,"region_2","region_4",-0.024215,0.002147,0.003494,TRUE,TRUE
"PERIOD_2",3,"region_2","region_5",-0.010384,0.188149,0.226914,FALSE,FALSE
"PERIOD_2",3,"region_2","region_6",0.089826,0,0,TRUE,TRUE
"PERIOD_2",3,"region_3","region_1",-0.009246,0.241252,0.284523,FALSE,FALSE
"PERIOD_2",3,"region_3","region_2",0.025396,0.001287,0.002138,TRUE,TRUE
"PERIOD_2",3,"region_3","region_4",-0.026465,0.000796,0.001369,TRUE,TRUE
"PERIOD_2",3,"region_3","region_5",0.023089,0.00343,0.005469,TRUE,TRUE
"PERIOD_2",3,"region_3","region_6",-0.053761,0,0,TRUE,TRUE
"PERIOD_2",3,"region_4","region_1",-0.011606,0.141298,0.175253,FALSE,FALSE
"PERIOD_2",3,"region_4","region_2",-0.002354,0.765443,0.790354,FALSE,FALSE
"PERIOD_2",3,"region_4","region_3",0.063563,0,0,TRUE,TRUE
"PERIOD_2",3,"region_4","region_5",0.032499,3.8e-05,7.5e-05,TRUE,TRUE
"PERIOD_2",3,"region_4","region_6",-0.002781,0.724446,0.760906,FALSE,FALSE
"PERIOD_2",3,"region_5","region_1",0.014202,0.071861,0.093478,FALSE,FALSE
"PERIOD_2",3,"region_5","region_2",0.016276,0.039122,0.052897,TRUE,FALSE
"PERIOD_2",3,"region_5","region_3",0.057367,0,0,TRUE,TRUE
"PERIOD_2",3,"region_5","region_4",-0.045751,0,0,TRUE,TRUE
"PERIOD_2",3,"region_5","region_6",-0.034178,1.5e-05,3e-05,TRUE,TRUE
"PERIOD_2",3,"region_6","region_1",-0.028767,0.000266,0.000482,TRUE,TRUE
"PERIOD_2",3,"region_6","region_2",-0.005337,0.498766,0.537995,FALSE,FALSE
"PERIOD_2",3,"region_6","region_3",0.051604,0,0,TRUE,TRUE
"PERIOD_2",3,"region_6","region_4",-0.018848,0.0169,0.024214,TRUE,TRUE
"PERIOD_2",3,"region_6","region_5",-0.003789,0.631072,0.664525,FALSE,FALSE
"PERIOD_2",4,"region_1","region_2",0.066675,0,0,TRUE,TRUE
