"Periode","Lag","Effect","Cause","PLCMF_Value","Sig_PLCMF","Bound"
"PERIOD_1",1,"region_1","region_1",3.485997,TRUE,0.015464
"PERIOD_1",1,"region_1","region_2",0.251097,TRUE,0.015464
"PERIOD_1",1,"region_1","region_3",-0.017681,TRUE,0.015464
"PERIOD_1",1,"region_1","region_4",-0.195051,TRUE,0.015464
"PERIOD_1",1,"region_1","region_5",-0.036268,TRUE,0.015464
"PERIOD_1",1,"region_1","region_6",0.176389,TRUE,0.015464
"PERIOD_1",1,"region_2","region_1",-0.029419,TRUE,0.015464
"PERIOD_1",1,"region_2","region_2",3.135978,TRUE,0.015464
"PERIOD_1",1,"region_2","region_3",0.071758,TRUE,0.015464
"PERIOD_1",1,"region_2","region_4",-0.333283,TRUE,0.015464
"PERIOD_1",1,"region_2","region_5",-0.054034,TRUE,0.015464
"PERIOD_1",1,"region_2","region_6",0.389783,TRUE,0.015464
"PERIOD_1",1,"region_3","region_1",0.126285,TRUE,0.015464
"PERIOD_1",1,"region_3","region_2",-0.158865,TRUE,0.015464
"PERIOD_1",1,"region_3","region_3",2.166203,TRUE,0.015464
"PERIOD_1",1,"region_3","region_4",0.225963,TRUE,0.015464
"PERIOD_1",1,"region_3","region_5",0.003195,FALSE,0.015464
"PERIOD_1",1,"region_3","region_6",-0.011774,FALSE,0.015464
"PERIOD_1",1,"region_4","region_1",-0.137549,TRUE,0.015464
"PERIOD_1",1,"region_4","region_2",0.309727,TRUE,0.015464
"PERIOD_1",1,"region_4","region_3",-0.135843,TRUE,0.015464
"PERIOD_1",1,"region_4","region_4",1.76681,TRUE,0.015464
"PERIOD_1",1,"region_4","region_5",-0.052307,TRUE,0.015464
"PERIOD_1",1,"region_4","region_6",0.118719,TRUE,0.015464
"PERIOD_1",1,"region_5","region_1",-0.083074,TRUE,0.015464
"PERIOD_1",1,"region_5","region_2",0.227409,TRUE,0.015464
"PERIOD_1",1,"region_5","region_3",-0.073203,TRUE,0.015464
"PERIOD_1",1,"region_5","region_4",-0.107332,TRUE,0.015464
"PERIOD_1",1,"region_5","region_5",3.136212,TRUE,0.015464
"PERIOD_1",1,"region_5","region_6",0.080124,TRUE,0.015464
"PERIOD_1",1,"region_6","region_1",0.149419,TRUE,0.015464
"PERIOD_1",1,"region_6","region_2",-0.17703,TRUE,0.015464
"PERIOD_1",1,"region_6","region_3",-0.071618,TRUE,0.015464
"PERIOD_1",1,"region_6","region_4",0.068999,TRUE,0.015464
"PERIOD_1",1,"region_6","region_5",-0.013071,FALSE,0.015464
"PERIOD_1",1,"region_6","region_6",2.769612,TRUE,0.015464
